,address,label,n_transactions,block_height_max-min,fee_mean,fee_median,fee_std,fee_min,fee_max,fee_max-min,size_mean,size_median,size_std,size_min,size_max,weight_mean,weight_median,weight_std,weight_min,weight_max,confirmations_mean,confirmations_median,confirmations_std,confirmations_min,confirmations_max,vin_sz_mean,vin_sz_median,vin_sz_std,vin_sz_min,vin_sz_max,vout_sz_mean,vout_sz_median,vout_sz_std,vout_sz_min,vout_sz_max,inputsAmount_mean,inputsAmount_median,inputsAmount_std,inputsAmount_min,inputsAmount_max,outputsAmount_mean,outputsAmount_median,outputsAmount_std,outputsAmount_min,outputsAmount_max
0,1129yN1itF5a5Hqgw7aenPKrom3fv8Aid1,coinjoin-like,100,31865,16304400,10000,161990110.1,0,1620000000,1620000000,6232.8,753,14905.9924,225,73896,24931.2,3012,59623.96961,900,295584,387570.57,386509,6142.126332,380695,412560,34.38,4,82.81862622,1,410,2.02,2,0.585687889,1,5,1313290108,82382890.5,5182520120,5987183,41851030020,1296985708,82367890.5,5055408432,5977183,40231030020
1,112b8ZjaJWGobxT7rAE8Qyw17bJa91jaec,gambling,72,8031,27788.59722,10000,66494.38973,0,450000,450000,2308.416667,782,4998.409053,225,40228,9233.666667,3128,19993.63621,900,160912,350449.9167,350893.5,2096.758207,344864,352878,9.388888889,2,28.14927791,1,223,17.90277778,2,29.10600331,1,70,121047803.8,3567693,304981800.3,30070,1544801456,121020015.2,3552693,304977519.9,70,1544801456
2,112LhEwGZk5mqpLz9Q33QG5FxZNbpgDwTL,exchange,3,1919,167926.6667,67200,233815.6462,1356,435224,433868,3122.666667,223,5049.24057,192,8953,12490.66667,892,20196.96228,768,35812,154786,155016,964.7854684,153727,155615,17.33333333,1,28.29016319,1,50,1.333333333,1,0.577350269,1,2,1333763129,52420000,2264818577,93531,3948775856,1333595202,52352800,2264586726,92175,3948340632
3,1136GYGTdySKCocdjqZphXiW4zoskXHqML,gambling,197,119799,249839.0457,40000,1402503.602,744,10000000,9999256,4060.101523,484,15577.68338,223,96799,15779.71574,1303,62296.39553,766,384919,122372.6853,121025,16144.40448,98086,217885,26.04568528,1,105.5838623,1,651,3.299492386,2,2.182174946,1,25,549079311.8,12295467,1625851370,603092,11002000000,548829472.7,12283443,1625316537,529092,11001956800
4,113Nu2g1dE4d3oiUH1ozUysK2RBgC98pxx,miner,6,4238,5135066.667,6120522,4338964.3,24034,9817000,9792966,49573.5,56165,43849.6889,393,97854,198294,224660,175398.7556,1572,391416,152913,152620.5,1746.568407,151423,155661,331.5,372.5,300.5979042,1,663,17.5,4.5,23.81386151,1,57,3525227051,1687865300,4839984082,49374220,13007866685,3520091984,1683758439,4839671192,49350186,13003684841
5,113zXqPm8bUcqN3WwNkmbKDUKKxEwzCQHY,miner,13,117940,1248242.077,318600,2748839.254,1084,10000000,9998916,9661.538462,1228,25545.10418,226,93993,38570.69231,4912,102210.2109,670,375972,131844.7692,147504,46975.5289,51582,169522,63.38461538,4,173.8574792,1,637,8.692307692,2,15.35352628,1,52,2145050380,676420563,3109776769,39548,10010000000,2143802138,676405779,3107683644,37628,10000000000
6,1142QZVPTNpWYh9qHhajea7DdXBch9dD3s,exchange,6,98612,32563.66667,27000,35662.15288,2738,100000,97262,1689.333333,364.5,3308.593276,280,8442,6648.333333,1458,13291.04481,793,33768,90400.66667,62393,49151.98297,55092,153722,9.833333333,1.5,20.66317175,1,52,6.666666667,3,8.041558721,3,23,1421832856,6825662.5,3444084013,31871,8451855543,1421800292,6822610,3444050928,4871,8451755543
7,114ADriuRWjkdmADR1wfL4KDqttNxGjp3D,miner,54,153368,1781464.481,37150,6219486.141,748,32509232,32508484,4813.425926,374,11220.85209,189,49784,19246.14815,1492,44886.47866,756,199136,174877.3889,170304,28878.93315,132844,286212,25.44444444,1,66.47560672,1,290,30.90740741,2,56.69390454,1,301,3116045730,9457692.5,6562890926,332011,29398956141,3114264266,9437122.5,6558771001,286757,29380967161
8,114dCn4TFweCWGqnxhZbaBuS5EEarJJdVS,services,8,31024,26025,6622.5,43737.4827,1130,121840,120710,5135.875,881,8889.882989,225,24576,20543.5,3524,35559.53195,900,98304,149872,153728,10937.24162,122804,153812,30,5,52.3422801,1,144,3.25,2,1.832250763,2,6,22558025.75,3759376,43152432.06,25959,124882456,22532000.75,3697891,43138574.04,24829,124820761
9,114i8FXzB8RLuKodFwTMhmWbg4DxKWwiuZ,exchange,2,3,56450,56450,61589.00064,12900,100000,87100,2464.5,2464.5,3120.462225,258,4671,9858,9858,12481.8489,1032,18684,153713.5,153713.5,20.50609665,153699,153728,14.5,14.5,19.09188309,1,28,9.5,9.5,9.192388155,3,16,3246292745,3246292745,4311659023,197489411,6295096078,3246236295,3246236295,4311597434,197476511,6294996078
10,115HCtNXsMHy751vNt2EueYVzr7E4GxwJG,exchange,4,16946,1733867,513135,2674173.38,180800,5728398,5547598,8435.25,8464,6872.319908,225,16588,33741,33856,27489.27963,900,66352,162026.5,161885.5,9601.540588,153698,170637,50.25,45.5,48.72627628,1,109,7,5.5,5.944184833,2,15,4144544920,1017241597,6943269860,13157105,14530539381,4142811053,1014006298,6944075060,12976305,14530255311
11,115mjxm8A1GZ4rzuXmX1tfSmar8Sa5GCwf,exchange,2,2,2181132,2181132,2787601.608,210000,4152264,3942264,18282.5,18282.5,18587.71596,5139,31426,73130,73130,74350.86383,20556,125704,153720,153720,15.55634919,153709,153731,117,117,118.7939392,33,201,28.5,28.5,28.99137803,8,49,2421967057,2421967057,3347741072,54756643,4789177470,2419785925,2419785925,3344953470,54546643,4785025206
12,115NGnx1tJm2o2rPfnsjuYa7uEdxy2eRq8,services,3,13,28983.66667,12628,28328.84566,12628,61695,49067,4300.666667,225,7059.261741,225,12452,17202.66667,900,28237.04697,900,49808,153720.6667,153715,9.814954576,153715,153732,25.33333333,1,42.14656965,1,74,3.333333333,2,2.309401077,2,6,47658630,9266020,66878154.66,8827414,124882456,47629646.33,9253392,66849825.96,8814786,124820761
13,115Qn5pR6pAFUcKwAaDNHNrkh6wXZwtNtk,services,5,773,789081,10405,1086889.73,10000,2253000,2243000,1641.2,521,1819.595065,225,3911,6564.8,2084,7278.380259,900,15644,288920,288883,341.0263919,288527,289273,10.6,3,12.34098862,1,26,2,2,0,2,2,216379255.2,107795128,215990587.9,20990682,563254789,215590174.2,107785128,214963665.4,20980277,561001789
14,115vqUzjcwsMAYtKuCdFqj6JNfp1VLsjTS,exchange,8,85492,146105.125,65643.5,174690.9227,7106,517020,509914,3515.25,404.5,6344.159918,191,17572,14061,1618,25376.63967,764,70288,129202.25,128412,34577.00396,88706,174198,20.875,1.5,40.86017097,1,115,13,3,19.58862644,1,59,57064397540,11477991,1.59054E+11,58907,4.50677E+11,57064251435,11328716.5,1.59053E+11,31907,4.50676E+11
15,115xuNLCqjQ12UPYsEBoFrQURx56WPcwLD,exchange,62,188948,5095956.774,1775416,8701912.097,10000,45071068,45061068,14074.17742,15396.5,12383.98512,226,58878,56272.08065,61586,49563.63793,904,235512,175599.9194,185005.5,34227.59163,4784,193732,67.72580645,51.5,74.85662128,1,227,119.4677419,90.5,224.2756441,2,1751,9289459193,2614972252,21431859884,2482018,1.36979E+11,9284363236,2610421684,21426491795,2429194,1.36934E+11
16,116AYmdheVE4o64mDuRKmP9s3fsR84VXrC,miner,8,51493,173944.875,106480.5,166289.921,5976,432460,426484,8044.75,3527,11870.83393,218,35844,32137.75,14108,47514.55132,542,143376,142477.875,154295,23025.75285,105240,156733,50.625,20,81.14878311,1,240,14,12,12.92837411,1,41,6708544716,3208326506,12172525327,4088945,36268403112,6708370771,3208191819,12172526845,4048945,36268299911
17,11d17SGG28V9K5zUEqCMeU2KnwVpk6Gvj,coinjoin-like,4,10,108260,116480,35588.17032,61400,138680,77280,1655.75,1537.5,1296.804374,226,3322,6623,6150,5187.217494,904,13288,276039.75,276037,6.946221995,276035,276050,10.75,10,8.770214745,1,22,1.75,2,0.5,1,2,641647165,651000812.5,715487420.6,3448000,1261139035,641538905,650903617.5,715455941,3348000,1261000385
18,11NomAcyxruQ2t9isswHiFUDfEP6nyonn,exchange,8,2995,126176.875,100000,121516.2108,5621,380000,374379,8170.375,3711,11685.65722,419,35775,32681.5,14844,46742.62886,1676,143100,153805.25,153880.5,1138.430969,152218,155228,50.375,17.5,80.44152712,1,240,21.875,12,32.16225605,4,101,10900062919,8163897267,9404918788,933202711,27818836562,10899936742,8163797267,9404889104,933193903,27818621576
19,121FDZK6HLCwBhCUSf6uTQvB48j6f18TjC,coinjoin-like,114,23603,47631.57895,10000,75143.55149,10000,550000,540000,3864.640351,620.5,7040.15594,225,54993,15458.5614,2482,28160.62376,900,219972,383828.2719,382924.5,4537.908333,371073,394644,21.44736842,3,39.24556051,1,305,2,2,0,2,2,531578072.5,47911475,955790642.9,10520700,6164811676,531530441,47901475,955723394.2,10510700,6164261676
